"","country","sd_country"
"1","Albania",NA
"2","Algeria",0.149955897396606
"3","Angola",0.08333335
"4","Antigua",0.0962250641099466
"5","Argentina",0.324222890060999
"6","Armenia",NA
"7","Australia",0
"8","Austria",0.0106066017177982
"9","Azerbaijan",NA
"10","Bangladesh",0.272165548749152
"11","Barbados",0
"12","Belarus",NA
"13","Belgium",0
"14","Belize",0
"15","Benin",0.365793044885367
"16","Bolivia",0.332704765995394
"17","Botswana",0.0745356141571128
"18","Brazil",0.192623537547426
"19","Bulgaria",NA
"20","Burkina Faso",0.226203572251207
"21","Burundi",0.20272547952248
"22","Cameroon",0.173129457824678
"23","Canada",0
"24","Cape Verde",0.431405959882595
"25","Central African Republic",0.255326340055088
"26","Chad",0.159084686242346
"27","Chile",0.408918310728153
"28","China",0.0851329609940785
"29","Colombia",0.146779566111153
"30","Comoros",0.166666650000001
"31","Congo, Dem. Rep.",0.145638536966476
"32","Congo, Rep.",0.206159126320131
"33","Costa Rica",0.0467736868097628
"34","Cote d'Ivoire",0.0860313132592503
"35","Croatia",NA
"36","Cuba",0
"37","Cyprus",0.192948435280644
"38","Czech Republic",NA
"39","Denmark",0
"40","Dominica",0.0962250641099466
"41","Dominican Republic",0.257157410301239
"42","Ecuador",0.357242515239221
"43","Egypt, Arab Rep.",0.125034543918232
"44","El Salvador",0.20974409151613
"45","Equatorial Guinea",0.0680413953522535
"46","Estonia",NA
"47","Ethiopia -pre 1993",0.1520286023632
"48","Ethiopia 1993-",NA
"49","Fiji",0.298142367185732
"50","Finland",0.0817222203791845
"51","France",0.0397212509593766
"52","Gabon",0.138425795691046
"53","Gambia, The",0.413879554853736
"54","Germany",0
"55","Ghana",0.340921933995696
"56","Greece",0.256971909198816
"57","Grenada",0.0962250641099466
"58","Guatemala",0.152185725551804
"59","Guinea",0.0890870984548909
"60","Guinea-Bissau",0.23570225450296
"61","Guyana",0.227710013768325
"62","Haiti",0.190029227284181
"63","Honduras",0.297100382055097
"64","Hungary",0.404831912993255
"65","Iceland",0
"66","India",0.125432581493009
"67","Indonesia",0.201581053846442
"68","Iran",0.108048034014146
"69","Ireland",0.0175119007154183
"70","Israel",0.0787420558407322
"71","Italy",0.0125166555703457
"72","Jamaica",0.0755929103503655
"73","Japan",0.0729366521605926
"74","Jordan",0.129912110734268
"75","Kazakhstan",NA
"76","Kenya",0.174137315822617
"77","Korea, Rep.",0.219190427102403
"78","Kyrgyz Republic",NA
"79","Latvia",NA
"80","Lebanon",0
"81","Lesotho",0.12546210288075
"82","Lithuania",NA
"83","Luxembourg",0.0694991036091066
"84","Macedonia, FYR",NA
"85","Madagascar",0.27313835231973
"86","Malawi",0.345032773920632
"87","Malaysia",0.192724834686044
"88","Mali",0.367759988269826
"89","Mauritania",0.208847936744752
"90","Mauritius",0.0860663137956463
"91","Mexico",0.163284129797269
"92","Moldova",NA
"93","Morocco",0.0877541792067722
"94","Mozambique",0.31180479113987
"95","Namibia",NA
"96","Nepal",0.230502818028431
"97","Netherlands",0
"98","New Zealand",0
"99","Nicaragua",0.125368124318195
"100","Niger",0.2481790900501
"101","Nigeria",0.286904303496967
"102","Norway",0
"103","Pakistan-post-1972",0.273861281795487
"104","Pakistan-pre-1972",NA
"105","Panama",0.358123532035429
"106","Papua New Guinea",0
"107","Paraguay",0.0786871590540685
"108","Peru",0.314691495018594
"109","Philippines",0.241659903271898
"110","Poland",0.396746005137536
"111","Portugal",0.31314120025365
"112","Romania",0.304914432441483
"113","Russia",NA
"114","Rwanda",0.115470062085787
"115","Sao Tome and Principe",0.43832593572127
"116","Senegal",0.182574185835056
"117","Seychelles",0.288675134594813
"118","Sierra Leone",0.174801461982193
"119","Singapore",0.164079941221075
"120","Slovakia",NA
"121","Slovenia",NA
"122","South Africa",0.257644610986472
"123","Spain",0.418085143224661
"124","Sri Lanka",0.160627615893579
"125","St. Kitts and Nevis",0
"126","St. Lucia",0
"127","St. Vincent and the Grenadines",0.08333335
"128","Sweden",0.0555555666666666
"129","Switzerland",0.00316227766016838
"130","Syrian Arab Republic",0.126929547700153
"131","Taiwan",0.227710023527327
"132","Tanzania",0.131132612912703
"133","Thailand",0.311586435751695
"134","Togo",0.125988154520041
"135","Trinidad and Tobago",0.0847206103932044
"136","Tunisia",0.081324973549042
"137","Turkey",0.185917815110089
"138","Uganda",0.224643889326876
"139","Ukraine",NA
"140","United Kingdom",0.00421637021355784
"141","United States",0.0279880927062444
"142","Uruguay",0.269887961207866
"143","Venezuela, RB",0.206864892987229
"144","Vietnam",NA
"145","Yemen",0
"146","Zambia",0.149955910628012
"147","Zimbabwe",0.210818505407431
