doi,title,author,journaltitle,volume,issue,pubdate,pagerange,abstract,FE type,N*T,Methods Citation,Time,Notes
10.2307/2110649,Linear Models for Evaluating Conditional Relationships,"Gerald C. Wright, Jr.",American Journal of Political Science,20,2,1976-05-01,pp. 349-373,"Relationships among the variables in political and sociological analyses are often conditional; the magnitudes of relationships frequently change among different types of people, and in different contexts. A common practice in studying such relationships has been to calculate and compare correlation coefficients, or other standardized measures of association, among subsets of observations defined by the conditioning variable. This method is criticized, and in its place we advocate a general linear model approach to assessing the extent of change in relationships among groups of observations. The approach consists of comparing a series of linear regression models with three criteria being offered for evaluating differences among the models. The analysis strategy is then illustrated in partial replications of two earlier studies.",One-way(Within),10*2,Cohen (1968) and Fennessey (1968),,
10.2307/2111187,Regression in Space and Time: A Statistical Essay,James A. Stimson,American Journal of Political Science,29,4,1985-11-01,pp. 914-947,"Regressions on data jointly structured in space and time, commonly referred to as the pooling of cross sections of time series, can be formidable both in the strength of their design properties and in the number of special statistical problems encountered with them. This essay deals briefly with the potential applications of pooled design and more extensively with the special statistical problems commonly associated with analysis in space and time together. Four estimators--ordinary least squares, least squares with dummy variables, error components, and an adaptation of Box-Jenkins ARMA models to the pooled estimation problem--are reviewed, with an effort to suggest where each may find application in political science research. The four estimators are then illustrated by analysis of the regional dynamics in party issue polarization over issues of racial desegregation in the U.S. House of Representatives",One-way(Within),NA,Wallace and Hussain (1968),,
10.2307/1956245,The Political Economy of Federalism,John E. Chubb,The American Political Science Review,79,4,1985-12-01,pp. 994-1015,"This article introduces a theoretical framework and an econometric methodology for analyzing the increasingly important effects of the national government on the federal system. The framework is a synthesis of the dominant political and economic approaches to this issue: it attempts to capture key elements of the complex political and administrative processes that implementation research has identified in contemporary federalism, and to exploit formal models of local fiscal choice used to analyze the impact of federal grants on state and local spending and taxing. The vehicle for the synthesis is a principal-agent model which represents the federal system as a formal hierarchy extending from Congress and the president to subnational bureaucrats. An econometric analysis of two major federal grant programs in each state for the years, 1965-1979, demonstrates that 1) economic models alone cannot explain the effects of federal grants on subnational fiscal behavior; politics must be included, and 2) the political effects can be disaggregated into ideological and constituency-oriented demands made by Congress and the White House on federal grant agencies.",One-way(Within),50*15,Pindyck & Rubinfeld (1981) and Maddalla (1977) and Craig & Inman (1982),Linear Trend,
10.2307/1962686,Nationalization of the Electorate in the United States,"Laura L. Vertz, John P. Frendreis, James L. Gibson",The American Political Science Review,81,3,1987-09-01,pp. 961-966,"A current debate within the field of U.S. politics revolves around the extent to which the electorate is nationalized, that is, responds to national-level political forces. We provide additional evidence to help resolve this debate. Using the variance-components model of political effects developed by Stokes, we analyze presidential, senatorial, gubernatorial, and congressional races for the period 1962-1984. The results indicate that presidential races are highly nationalized, and congressional races largely localized. Senate and gubernatorial races are found to have a large state-level component to them. The analysis is also split into two segments to ascertain if a change in political effects is seen during this relatively short time frame; no such differences are found. We conclude that nationalization is not a process that can be understood from evidence provided by congressional races alone. Our results suggest that constituencies respond to political forces in a complex way, reacting to factors that are most relevant to a particular electoral contest.",Unclear,,,,
10.2307/1958062,"Institutions, The Economy, and the Dynamics of State Elections",John E. Chubb,The American Political Science Review,82,1,1988-03-01,pp. 133-154,"As the U.S. states develop their political institutions and take greater responsibility for their economic well-being, two concerns that have long driven research on national elections--electoral insulation and economic accountability--should become central in research on state elections. I investigate institutionalization's effects on the vulnerability of state elections to major periodic forces--coattails, turnout, and economic conditions--and how political responsibility for economic growth is apportioned between presidents and governors in state elections. The investigation relies upon dynamic models of state legislative and gubernatorial outcomes estimated with a pooled data set comprised of most states and electionsin the years 1940-82. The results, which have important implications for state government more broadly, indicate that institutionalization has substantially insulated legislative elections against major threats and that state legislators and governors have less to fear from their state economies than is often thought, but also that state elections are becoming more susceptible to swings in the national economy.",One-way(Within),35*22,Stimson (1985),Lagged DV,
10.2307/1963852,Street-Level Political Controls Over Federal Bureaucracy,"John T. Scholz, Jim Twombly, Barbara Headrick",The American Political Science Review,85,3,1991-09-01,pp. 829-850,"Local partisan activities of legislators and their electoral coalitions systematically influence field office activities of federal bureaucracies in their electoral districts. This alternative to centralized democratic controls over bureaucracy occurs because discretionary policy decisions made at the field office level are influenced by local resources generated through partisan activities. Our study of county-level Occupational Safety and Health Administration enforcement in New York (1976-85) finds that county, state, and federal elected officials influence local enforcement. The county political parties are most influential for activities with the most local discretion, while members of Congress are more influential for local activities more readily controlled by the national office.",One-way(Within),30*9,,,
10.2307/1964232,"The Welfare State, Turnout, and the Economy: A Comparative Analysis",Benjamin Radcliff,The American Political Science Review,86,2,1992-06-01,pp. 444-454,"While the economic voting literature is voluminous, comparatively little attention has been paid to the question of how--or whether--the economy affects turnout. I address this issue by examining national elections in 29 countries. Using time series data, the initial findings are replicated by a case study of American presidential and midterm elections since 1896. It is argued that the effect of economic adversity depends upon the degree of welfare state development. This relationship is argued to be nonlinear, so that mobilization occurs at either extreme while withdrawal obtains in the middle range. The importance to democratic theory, the study of elections, and the politics of welfare policy are discussed.",One-way(Within),29*17,Stimson (1985),Lagged DV,
10.2307/2132226,Taxes and Voting: Electoral Retribution in the American States,"Susan L. Kone, Richard F. Winters",The Journal of Politics,55,1,1993-02-01,pp. 22-40,"We examine the impacts of legislated changes in and new programs of general sales and personal income tax policies on the electoral support for the gubernatorial nominee of the responsible party in 407 gubernatorial elections in the 50 American states from 1957-1985. We propose a taxpayer retribution hypothesis in the context of a general model of retrospective voting. We estimate the effects of several tax policy variables while controlling for rival political and economic factors that are believed to influence voting at this level--state and national economic conditions, partisan strength, national trends, and coterminous contests. Results indicate weak overall negative electoral effects of taxation; only changes in the general sales tax programs appear to have significant impacts. Further, while voters may punish taxing governors, there appears to be no complementary reward for governors who decrease taxes.",Two-way,50*28,Stimson (1985) and Sayrs (1989),,
10.2307/2132275,Explaining the Competitiveness of Gubernatorial Primaries,"William D. Berry, Bradley C. Canon",The Journal of Politics,55,2,1993-05-01,pp. 454-471,"Political scientists have devoted considerable effort to explaining the extent of electoral division in democracies. In the American context, this interest has sparked research about the factors determining the nature of intraparty competition in the states. Two major explanations have emerged: the opposition hypothesis--which suggests that the strength of the opposition party is the principal determinant of intraparty competitiveness, with a weak opposition leading to strong competition--and the electoral structure hypothesis--which attributes the level of competition principally to the rules governing primaries. In particular, double (or runoff) primaries are held to offer greater incentives to politicians to compete than single primaries. Recent research about the factors determining the competitiveness of gubernatorial primaries has found stronger empirical support for the structure proposition than the opposition hypothesis. We reformulate these hypotheses in a model that presumes that electoral structure and opposition strength interact in influencing the level of competition in gubernatorial primaries such that the effect of structure on competition depends on the strength of the opposition party. Pooled cross-sectional time-series analysis of data from the states extending as far back as 1919 produces strong support for our model, leading to the conclusion that both electoral structure and opposition party strength influence the competitiveness of primaries. The empirical evidence also confirms the importance of incumbency, restrictions on gubernatorial succession, and party endorsements in determining competitiveness.",One-way(Within),88*9,Stimson (1985) and Hsiao (1986),,
10.2307/2111601,Resources Rather than Needs: A State-Centered Model of Welfare Policymaking,Jack Tweedie,American Journal of Political Science,38,3,1994-08-01,pp. 651-672,"This study examines the states' policymaking for the Aid to Families with Dependent Children (AFDC) program. It develops a public good model of welfare policymaking focused on changes in the maximum benefit level that determines how much assistance poor families receive. A pooled time-series analysis is used to test the model's expectations. This examination confirms some expectations of the public good theory while challenging others. Changes in state revenues strongly influence states' decisions about AFDC benefit levels. However, neither changes in citizens' income nor changes in the cost of living have a significant effect on states' decisions. These findings question the public good theory's focus on transfers from private income and its characterization of concern for the living conditions of poor families as the central motive for welfare transfers. They indicate that the explanation of AFDC policymaking should be focused on the role of state policymaking processes, particularly the budgetary process.",Two-way,50*8,Stimson (1985),,
