id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work,abstract
10.2307/3647677,10.2307/3647677,The Development of Stable Party Support: Electoral Dynamics in Post-Communist Europe,Margit Tavits,American Journal of Political Science,49,2,2005-04-01T00:00:00Z,pp. 283-298,Midwest Political Science Association,fla,,"What conditions help stable patterns of party support to emerge? Using pooled time-series cross-section data on election results from 15 East European democracies, the empirical analysis finds that (1) right after a regime change electoral volatility increases while the trend is reversed after democracy has endured for about a decade; (2) ethnic cleavages have no effect on stability while social cleavages affect electoral stability only during economic downturns; (3) both institutions and economic performance influence the stability of party support; however, the effect of the latter diminishes over time when democracies mature."
10.2307/2132313,10.2307/2132313,"When Objectivity is Not Objective: Network Television News Coverage of U.S. Senators and the ""Paradox of Objectivity""","James H. Kuklinski, Lee Sigelman",The Journal of Politics,54,3,1992-08-01T00:00:00Z,pp. 810-833,"Cambridge University Press, Southern Political Science Association",fla,,"Do the electronic media, the principal source of political information for many if not most American citizens, present biased accounts of national affairs? Our analyses of network coverage of U.S. senators during the 1970s and 1980s find that the networks follow objective routines, which normally ensure balanced reporting of political affairs. During times of seismic change in the political landscape, however, these very routines can produce what might be interpreted as biased coverage. The first four years of the Reagan administration, we show, is a striking example of this phenomenon. We label this the ""paradox of objectivity,"" a phenomenon that greatly complicates the evaluation of news reporting."
10.2307/25791755,10.2307/25791755,The Effect of Social Conformity on Collective Voting Behavior,Stephen Coleman,Political Analysis,12,1,2004-01-01T00:00:00Z,pp. 76-96,"Oxford University Press, Society for Political Methodology",fla,,"This article investigates the effect of social conformity on voting behavior. Past research shows that many people vote to conform with the social norm that voting is a civic duty. The hypothesis here is that when conformity motivates people to vote, it also stimulates conformist behavior among some voters when they decide which party to vote for. This produces a distinctive relationship between voter turnout and the distribution of votes among parties—a relationship not anticipated by rational choice theory. I test a mathematical model of this behavior with linear and nonlinear regression analyses of state-level data for presidential elections in the United States from 1904 to 1996, longitudinal data on parliamentary elections in Western Europe over most of the twentieth century, and cross-sectional data for recent elections in Western Europe, Eastern Europe, and Russia. The results generally validate the model."
10.2307/40784772,10.2307/40784772,The Contradiction of Modernization: A Conditional Model of Endogenous Democratization,Ryan Kennedy,The Journal of Politics,72,3,2010-07-01T00:00:00Z,pp. 785-798,"Cambridge University Press, Southern Political Science Association",fla,,"Several very influential authors in political science and economics have recently argued that the relationship between economic development and democracy is extremely weak, spurious, or that the causal arrow is reversed. This analysis argues that a fundamental conceptual issue with how democratization is studied is responsible for their findings. Namely, economic development has the opposite effect on the onset and outcome of institutional change. In an analysis of 178 countries from 1816 to 2004, this study finds that economic development decreases the probability of major institutional change, but increases the probability that such a change will be towards democracy. This finding is remarkably robust to the inclusion of control variables and fixed-effects estimation."
10.2307/440282,10.2307/440282,Boll Weevils and Roll-Call Voting: A Study in Time and Space,"M. V. Hood III, Irwin L. Morris",Legislative Studies Quarterly,23,2,1998-05-01T00:00:00Z,pp. 245-269,Comparative Legislative Research Center,fla,,"Using a pooled time-series analysis of southern congressional districts from 1983 to 1992, we evaluate theories associating constituency and institutional factors with recent shifts in the voting patterns of southern Democrats. While we find that Democrats serving areas with larger minority populations and more progressive white populations tend to be more liberal, the greatest portion of the aggregate liberalization of voting patterns is attributable to cohort change. Voting records of southern Democrats elected prior to 1982 remained relatively constant, and we find no evidence of any general trend in the recent voting patterns of southern Democrats when controlling for other factors."
10.2307/1520113,10.2307/1520113,Political Parties and the Recruitment of Women to State Legislatures,Kira Sanbonmatsu,The Journal of Politics,64,3,2002-08-01T00:00:00Z,pp. 791-809,"Cambridge University Press, Southern Political Science Association",fla,,"This article analyzes the role of political parties in shaping women's representation across the U.S. states. Using data from 1971 to 1999, I analyze several hypotheses about how party affects women's recruitment to the lower houses of state legislatures. I argue that the incentive structure facing potential women candidates is somewhat different for Democratic and Republican women. The social eligibility pool, legislative professionalism, and partisan composition of the legislature affect women's representation differently by party. Rather than assuming a single path for women to elective office, this research implies that it is necessary to disaggregate women by party in order to understand the pattern of where women run for and hold state legislative office."
10.2307/1958062,10.2307/1958062,"Institutions, The Economy, and the Dynamics of State Elections",John E. Chubb,The American Political Science Review,82,1,1988-03-01T00:00:00Z,pp. 133-154,American Political Science Association,fla,,"As the U.S. states develop their political institutions and take greater responsibility for their economic well-being, two concerns that have long driven research on national elections--electoral insulation and economic accountability--should become central in research on state elections. I investigate institutionalization's effects on the vulnerability of state elections to major periodic forces--coattails, turnout, and economic conditions--and how political responsibility for economic growth is apportioned between presidents and governors in state elections. The investigation relies upon dynamic models of state legislative and gubernatorial outcomes estimated with a pooled data set comprised of most states and electionsin the years 1940-82. The results, which have important implications for state government more broadly, indicate that institutionalization has substantially insulated legislative elections against major threats and that state legislators and governors have less to fear from their state economies than is often thought, but also that state elections are becoming more susceptible to swings in the national economy."
10.2307/2600970,10.2307/2600970,United States Human Rights Policy and Foreign Assistance,"Clair Apodaca, Michael Stohl",International Studies Quarterly,43,1,1999-03-01T00:00:00Z,pp. 185-198,"The International Studies Association, Wiley",fla,,"This study furthers the inquiry into the relationship between human rights and U.S. bilateral foreign aid. We build the most comprehensive data set to date, extending the time period (1976-1995) and enlarging the number of countries under review (140). Rhetoric aside, human rights considerations did play a role in determining whether or not a state received military aid during the Reagan and Bush administrations, but not for the Carter or Clinton administration. With the exception of the Clinton administration, human rights was a determinant factor in the decision to grant economic aid, albeit of secondary importance. To the question ""Does a state's human rights record affect the amount of U.S. bilateral aid it receives?"" we answer yes for economic aid, but no for military aid. Human rights considerations are neither the only nor the primary consideration in aid allocation."
10.2307/2585575,10.2307/2585575,"Party Systems and Electoral Volatility in Latin America: A Test of Economic, Institutional, and Structural Explanations","Kenneth M. Roberts, Erik Wibbels",The American Political Science Review,93,3,1999-09-01T00:00:00Z,pp. 575-590,American Political Science Association,fla,,"Three different theoretical explanations are tested for the exceptionally high level of electoral volatility found in contemporary Latin America: economic voting, institutional characteristics of political regimes and party systems, and the structure and organization of class cleavages. A pooled cross-sectional time-series regression analysis is conducted on 58 congressional elections and 43 presidential elections in 16 Latin American countries during the 1980s and 1990s. Institutional variables have the most consistent effect on volatility, while the influence of economic performance is heavily contingent upon the type of election and whether the dependent variable is operationalized as incumbent vote change or aggregate electoral volatility. The results demonstrate that electoral volatility is a function of short-term economic perturbations, the institutional fragilities of both democratic regimes and party systems, and relatively fluid cleavage structures."
10.2307/2944706,10.2307/2944706,Racial Threat and Partisan Identification,"Micheal W. Giles, Kaenan Hertz",The American Political Science Review,88,2,1994-06-01T00:00:00Z,pp. 317-326,American Political Science Association,fla,,"Over the past three decades, as the Democratic party in the South has come to depend more heavily on black voters for its success, it has experienced a decline among white adherents. Power theory views relationships between groups as a function of their competitive positions in political, economic, and social arenas. In contexts where the threat posed by a minority group is high, the dominant group's response is predicted to be more hostile than in contexts where that threat is low. A pooled time series analysis of voter registration data for Louisiana parishes for 1975-90 provides support for the operation of the threat mechanism. Higher black concentrations are associated with declines in the percentage of white registered voters who are Democrats and an increase in the percentage who are Republicans. Consistent with the expectations of power theory, this relationship is conditioned by the social status of the parish."
