id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work,abstract
10.2307/20647959,10.2307/20647959,International Organization as a Seal of Approval: European Union Accession and Investor Risk,Julia Gray,American Journal of Political Science,53,4,2009-10-01T00:00:00Z,pp. 931-949,Midwest Political Science Association,fla,,"Much of the literature on international institutions argues that membership regularizes expectations about members' future behavior. Using the accession of the postcommunist countries as a test case, this article argues that the EU can send strong signals to financial markets about the trajectory of a particular country. Examining spreads on sovereign debt from 1990 to 2006, this article shows that closing negotiation chapters on domestic economic policy—in other words, receiving a seal of approval from Brussels that previously existing policy reform is acceptable to the wider EU—substantially decreases perceptions of default risk in those countries. That decrease operates independently from policy reform that the country has taken and is also distinct from selection processes (modeled here with new variables, including UNESCO World Heritage sites and domestic movie production, that proxy for cultural factors). Thus, this particular international organization has played an important role in coordinating market sentiment on members, conferring confidence that policy reform alone could not accomplish."
10.2307/3877803,10.2307/3877803,"Alliances, Imperfect Markets, and Major-Power Trade","Joanne Gowa, Edward D. Mansfield",International Organization,58,4,2004-10-01T00:00:00Z,pp. 775-805,"Cambridge University Press, International Organization Foundation, The MIT Press, University of Wisconsin Press",fla,,"The ""new"" trade theory and standard trade theory make different predictions about the composition and distribution of trade flows. Empirical evidence suggests that an increasing share of international trade consists of differentiated products, a consequence of increasing returns to scale. Nonetheless, the existing political science literature typically assumes that the conditions of standard theory hold. As such, the literature ignores the dynamic-inconsistency problem that imperfect markets can create. In doing so, it also ignores the fact that imperfect markets can shift the political prerequisites of open international markets. In this article we examine these shifts. We argue that alliances can support an optimal level of trade when scale economies rather than differences in relative factor endowments motivate it. Our empirical results support this argument, indicating that alliances exert a stronger influence on trade in goods produced under conditions of increasing rather than constant returns to scale."
10.2307/30038944,10.2307/30038944,Competition between Unequals: The Role of Mainstream Party Strategy in Niche Party Success,Bonnie M. Meguid,The American Political Science Review,99,3,2005-08-01T00:00:00Z,pp. 347-359,American Political Science Association,fla,,"What accounts for variation in the electoral success of niche parties? Although institutional and sociological explanations of single-issue party strength have been dominant, they tend to remove parties from the analysis. In this article, I argue that the behavior of mainstream parties influences the electoral fortunes of the new, niche party actors. In contrast to standard spatial theories, my theory recognizes that party tactics work by altering the salience and ownership of issues for political competition, not just party issue positions. It follows that niche party support can be shaped by both proximal and non-proximal competitors. Analysis of green and radical right party vote in 17 Western European countries from 1970 to 2000 confirms that mainstream party strategies matter; the modified spatial theory accounts for the failure and success of niche parties across countries and over time better than institutional, sociological, and even standard spatial explanations."
10.2307/3647677,10.2307/3647677,The Development of Stable Party Support: Electoral Dynamics in Post-Communist Europe,Margit Tavits,American Journal of Political Science,49,2,2005-04-01T00:00:00Z,pp. 283-298,Midwest Political Science Association,fla,,"What conditions help stable patterns of party support to emerge? Using pooled time-series cross-section data on election results from 15 East European democracies, the empirical analysis finds that (1) right after a regime change electoral volatility increases while the trend is reversed after democracy has endured for about a decade; (2) ethnic cleavages have no effect on stability while social cleavages affect electoral stability only during economic downturns; (3) both institutions and economic performance influence the stability of party support; however, the effect of the latter diminishes over time when democracies mature."
10.2307/20445044,10.2307/20445044,"Corruption, Democracy, and Economic Growth","A. Cooper Drury, Jonathan Krieckhaus, Michael Lusztig",International Political Science Review / Revue internationale de science politique,27,2,2006-04-01T00:00:00Z,pp. 121-136,"Sage Publications, Ltd.",fla,,"Scholars have long suspected that political processes such as democracy and corruption are important factors in determining economic growth. Studies show, however, that democracy has only indirect effects on growth, while corruption is generally accepted by scholars as having a direct and negative impact on economic performance. We argue that one of democracy's indirect benefits is its ability to mitigate the detrimental effect of corruption on economic growth. Although corruption certainly occurs in democracies, the electoral mechanism inhibits politicians from engaging in corrupt acts that damage overall economic performance and thereby jeopardize their political survival. Using time-series cross-section data for more than 100 countries from 1982-97, we show that corruption has no significant effect on economic growth in democracies, while non-democracies suffer significant economic harm from corruption. /// Les chercheurs ont longtemps supposé que des processus politiques tels que la démocratie et la corruption constituent des facteurs déterminants de la croissance économique. Cependant, les études montrent que la démocratie a des effets seulement indirects sur la croissance, tandis que la corruption est généralement considérée par les chercheurs comme ayant un impact direct et négatif sur la performance économique. Nous soutenons qu'un des avantages indirects de la démocratie est sa capacité à atténuer l'effet néfaste de la corruption sur la croissance économique. Bien que la corruption se produise indubitablement dans les démocraties, le mécanisme électoral empêche des politiciens de s'engager dans des actes corrompus préjudiciables à la performance économique globale et de nature à compromettre de ce fait leur survie politique. En utilisant les données croisées de séries temporelles pour plus de 100 pays de 1982 à 1997, nous démontrons que la corruption n'a aucun effet significatif sur la croissance économique des démocraties, alors que les États non démocratiques souffrent de difficultés économiques significatives du fait de la corruption."
10.2307/23326380,10.2307/23326380,Adam Smith or Machiavelli? Political incentives for contracting out local public services,"Anders Sundell, Victor Lapuente",Public Choice,153,4-Mar,2012-12-01T00:00:00Z,pp. 469-485,Springer,fla,,"Why do some local governments deliver public services directly while others rely on providers from the private sector? Previous literature on local contracting out and on the privatization of state-owned enterprises have offered two competing interpretations on why center-right governments rely more on private providers. Some maintain that center-right politicians contract out more because, like Adam Smith, they believe in market competition. Others claim that center-right politicians use privatization in a Machiavellian fashion; it is used as a strategy to retain power, by 'purchasing' the electoral support of certain constituencies. Using a unique dataset, which includes the political attitudes of over 8,000 Swedish local politicians from 290 municipalities for a period of 10 years, this paper tests these ideological predictions together with additional political economy factors which have been overlooked in previous studies, such as the number of veto players. Results first indicate support for the Machiavellian interpretation, as contracting out increases with electoral competition. Second, irrespective of ideological concerns, municipalities with more veto players in the coalition government contract out fewer services."
10.2307/1519915,10.2307/1519915,Democracy and the Violation of Human Rights: A Statistical Analysis from 1976 to 1996,"Christian Davenport, David A. Armstrong, II",American Journal of Political Science,48,3,2004-07-01T00:00:00Z,pp. 538-554,Midwest Political Science Association,fla,,"Most studies posit and identify a linear and negative relationship between democracy and the violation of human rights. Some research challenges this finding, however, suggesting that nonlinear influences exist. Within this article, we examine the structure of the relationship between democracy and repression during the time period from 1976 to 1996. To conduct our analysis, we utilize diverse statistical approaches which are particularly flexible in identifying influences that take a variety of functional forms (specifically LOESS and binary decomposition). Across measures and methodological techniques, we found that below a certain level, democracy has no impact on human rights violations, but above this level democracy influences repression in a negative and roughly linear manner. The implications of this research are discussed within the conclusion."
10.2307/2691896,10.2307/2691896,The Electoral Connection in European Union Politics,Clifford J. Carrubba,The Journal of Politics,63,1,2001-02-01T00:00:00Z,pp. 141-158,"Cambridge University Press, Southern Political Science Association",fla,,"Why does European integration proceed? This article tests among three theories of representation. The ""permissive consensus"" theory argues that political elites have been able to pursue their own policy interests because of public disinterest; Stimson's (1991) ""policy mood"" theory argues that public disinterest is a sign that political elites are hewing close enough to public preferences; and the ""cue-taking"" theory argues that a disinterested public's preferences will be correlated with political elite policy positions not because elites are responding to public preferences, but because political elites shape weakly held preferences through their policy positions. A two-stage least squares regression model is used to test among the theories. The results provide support for the policy mood theory."
10.2307/3176219,10.2307/3176219,"Bearing the Defense Burden, 1886-1989: Why Spend More?",Benjamin E. Goldsmith,The Journal of Conflict Resolution,47,5,2003-10-01T00:00:00Z,pp. 551-573,"Sage Publications, Inc.",fla,,"Competing hypotheses are tested on an extensive set of defense-burden data to determine the general factors that influence states' levels of military spending. Results provide some clear answers to longstanding questions and supply new findings that beg further investigation. When controls are introduced for domestic political and economic factors, several international factors, including alliances and rivalries, lose statistical significance. Consistent with liberal theory, regime type has a robust effect: democracies spend proportionately less on defense than other states. As implied by realism, under conditions of economic growth or high levels of wealth, ""extra"" resources are diverted disproportionately to the military."
10.2307/3647692,10.2307/3647692,Globalization and the Strengthening of Democracy in the Developing World,Nita Rudra,American Journal of Political Science,49,4,2005-10-01T00:00:00Z,pp. 704-730,Midwest Political Science Association,fla,,"Scholars and policy makers have long assumed that trade and financial liberalization encourages developing countries to become more democratic; yet no one has developed formal hypotheses about the causal relationship between globalization and democracy. This article shows that these two trends are indeed related, but not necessarily in the direct manner that has commonly been postulated. Combining theories of embedded liberalism and conflict-based theories of democracy, the model presented here depicts the process that affects decisions to strengthen democracy as trade and capital flows increase. I argue that increasing exposure to international export and financial markets leads to improvements in democracy if safety nets are used simultaneously as a strategy for providing stability and building political support. Empirical evidence is provided by econometric analysis covering 59 developing countries for the time period 1972-97."
10.2307/3186097,10.2307/3186097,"Mandates, Powers, and Policies","Gregg B. Johnson, Brian F. Crisp",American Journal of Political Science,47,1,2003-01-01T00:00:00Z,pp. 128-142,Midwest Political Science Association,fla,,"Elections provide a mandate to pursue a set of policies. Party label provides a concise ideological cue for voters to choose among candidates, and research on industrial democracies verifies a link between the parties voters elect and subsequent policy outcomes. The combination of inchoate party systems and economic vulnerability elsewhere may weaken the link between voter choice and policy. When examining economic policies in Latin America, there is some controversy as to whether governments carried out ""reform by surprise""-promising one thing during a campaign while implementing another in office. We test whether the ideological reputations of executives' and legislators' parties explain whether they adopt market-oriented policies. We find that the future behavior of presidential candidates is difficult for voters to predict. However, the ideological reputation of legislators is a reliable predictor of policy outcomes, and the relationship is clarified by the prospects of collective action by legislative delegations."
